ID,Title,EventColor,IsBookable
1,  D1,  orange, 1
10,  U10,  orange, 1
11,  U11 EC Office,  brown, 0
12,  U12 Staff Cafe,  brown, 0
13,  U13 Coun Cafe,  brown, 0
14,  U14 ,  orange, 1
15,  U15,  orange, 1
16,  U16,  orange, 1
17,  U17,  orange, 1
18,  U18 PCopy,  brown, 0
19,  U19,  orange, 1
2,  D2 Interview,  brown, 1
20,  U20,  orange, 1
21,  U21,  orange, 1
3,  D3,  green, 1
4,  D4 Student Cafe,  brown, 1
5,  D5 Student Kitchen,  brown, 0
6,  D6 Office,  red, 0
7,  D7 Office,  red, 0
8,  U8,  orange, 1
9,  U9,  orange, 1